"CountyName","Condition","Year","mean_crude_prev","mean_TotalPopulation","mean_FoodInsecRate","mean_FoodInsecPersons","mean_FoodInsecPersons_Black","mean_FoodInsecPersons_Hispanic","mean_FoodInsecPersons_White","n_records"
"Hampshire","Diabetes",2022,8.53142857142857,4637.37142857143,0.093,14380,0.32,0.2,0.09,35
"Hampshire","High Blood Pressure",2019,45.2833333333333,4391.11111111111,0.08,12850,0.22,0.16,0.08,72
"Hampshire","High Blood Pressure",2021,42.6828571428571,4637.37142857143,0.067,10840,NA,0.14,0.07,105
"Hampshire","Leisure Activity",2019,24.6194444444444,4391.11111111111,0.08,12850,0.22,0.16,0.08,36
"Hampshire","Leisure Activity",2020,16.6,4391.11111111111,0.081,13090,0.22,0.17,0.06,36
"Hampshire","Leisure Activity",2022,19.0342857142857,4637.37142857143,0.093,14380,0.32,0.2,0.09,35
"Hampshire","Obesity",2019,23.3666666666667,4391.11111111111,0.08,12850,0.22,0.16,0.08,36
"Hampshire","Obesity",2020,22.0111111111111,4391.11111111111,0.081,13090,0.22,0.17,0.06,36
"Hampshire","Obesity",2022,25.1371428571429,4637.37142857143,0.093,14380,0.32,0.2,0.09,35
"Middlesex","Diabetes",2019,7.05457413249211,4741.59305993691,0.064,102660,0.17,0.14,0.06,317
"Middlesex","Diabetes",2020,7.06876971608833,4741.59305993691,0.072,116020,0.19,0.16,0.04,317
"Middlesex","Diabetes",2022,7.90395480225989,4610.17514124294,0.083,135440,0.22,0.17,0.06,354
"Middlesex","High Blood Pressure",2019,48.9201892744479,4741.59305993691,0.064,102660,0.17,0.14,0.06,634
"Middlesex","High Blood Pressure",2021,43.9878531073446,4610.17514124294,0.061,99660,0.19,0.13,0.04,1062
"Middlesex","Leisure Activity",2019,22.2094637223975,4741.59305993691,0.064,102660,0.17,0.14,0.06,317
"Middlesex","Leisure Activity",2020,15.9940063091483,4741.59305993691,0.072,116020,0.19,0.16,0.04,317
"Middlesex","Leisure Activity",2022,16.480790960452,4610.17514124294,0.083,135440,0.22,0.17,0.06,354
"Middlesex","Obesity",2019,22.7659305993691,4741.59305993691,0.064,102660,0.17,0.14,0.06,317
"Middlesex","Obesity",2020,21.2618296529968,4741.59305993691,0.072,116020,0.19,0.16,0.04,317
"Middlesex","Obesity",2022,22.8494350282486,4610.17514124294,0.083,135440,0.22,0.17,0.06,354
"Nantucket","Diabetes",2019,8.14,2034.4,0.074,830,NA,NA,0.05,5
"Nantucket","Diabetes",2020,8.1,2034.4,0.078,870,NA,0.17,0.04,5
"Nantucket","Diabetes",2022,8.8,2375.83333333333,0.08,1130,NA,NA,0.06,6
"Nantucket","High Blood Pressure",2019,51.84,2034.4,0.074,830,NA,NA,0.05,10
"Nantucket","High Blood Pressure",2021,46.4277777777778,2375.83333333333,0.062,850,0.19,NA,0.04,18
"Nantucket","Leisure Activity",2019,23.14,2034.4,0.074,830,NA,NA,0.05,5
"Nantucket","Leisure Activity",2020,17.54,2034.4,0.078,870,NA,0.17,0.04,5
"Nantucket","Leisure Activity",2022,17.0333333333333,2375.83333333333,0.08,1130,NA,NA,0.06,6
"Nantucket","Obesity",2019,26.18,2034.4,0.074,830,NA,NA,0.05,5
"Nantucket","Obesity",2020,24.78,2034.4,0.078,870,NA,0.17,0.04,5
"Nantucket","Obesity",2022,28.05,2375.83333333333,0.08,1130,NA,NA,0.06,6
"Norfolk","Diabetes",2019,7.81692307692308,5160.38461538462,0.059,41100,0.12,0.1,0.05,130
"Norfolk","Diabetes",2020,7.62461538461538,5160.38461538462,0.07,49120,0.16,0.12,0.04,130
"Norfolk","Diabetes",2022,8.97777777777778,4744.92156862745,0.076,54760,0.2,0.13,0.06,153
"Norfolk","High Blood Pressure",2019,49.9334615384615,5160.38461538462,0.059,41100,0.12,0.1,0.05,260
"Norfolk","High Blood Pressure",2021,46.2657952069717,4744.92156862745,0.055,39710,0.16,0.1,0.04,459
"Norfolk","Leisure Activity",2019,26.1484615384615,5160.38461538462,0.059,41100,0.12,0.1,0.05,130
"Norfolk","Leisure Activity",2020,16.8923076923077,5160.38461538462,0.07,49120,0.16,0.12,0.04,130
"Norfolk","Leisure Activity",2022,17.9640522875817,4744.92156862745,0.076,54760,0.2,0.13,0.06,153
"Norfolk","Obesity",2019,22.1646153846154,5160.38461538462,0.059,41100,0.12,0.1,0.05,130
"Norfolk","Obesity",2020,23.9853846153846,5160.38461538462,0.07,49120,0.16,0.12,0.04,130
"Norfolk","Obesity",2022,27.0666666666667,4744.92156862745,0.076,54760,0.2,0.13,0.06,153
"Plymouth","Diabetes",2019,8.504,4949.19,0.061,31400,0.16,0.14,0.05,100
"Plymouth","Diabetes",2020,7.863,4949.19,0.075,39020,0.17,0.16,0.04,100
"Plymouth","Diabetes",2022,9.50636363636364,4825.62727272727,0.076,40450,0.19,0.17,0.06,110
"Plymouth","High Blood Pressure",2019,52.1575,4949.19,0.061,31400,0.16,0.14,0.05,200
"Plymouth","High Blood Pressure",2021,47.1627272727273,4825.62727272727,0.056,29290,0.16,0.13,0.04,330
"Plymouth","Leisure Activity",2019,25.514,4949.19,0.061,31400,0.16,0.14,0.05,100
"Plymouth","Leisure Activity",2020,21.399,4949.19,0.075,39020,0.17,0.16,0.04,100
"Plymouth","Leisure Activity",2022,20.5627272727273,4825.62727272727,0.076,40450,0.19,0.17,0.06,110
"Plymouth","Obesity",2019,27.513,4949.19,0.061,31400,0.16,0.14,0.05,100
"Plymouth","Obesity",2020,25.037,4949.19,0.075,39020,0.17,0.16,0.04,100
"Plymouth","Obesity",2022,29.82,4825.62727272727,0.076,40450,0.19,0.17,0.06,110
"Suffolk","Diabetes",2019,8.48979591836735,3683.54081632653,0.106,84280,0.21,0.18,0.1,196
"Suffolk","Diabetes",2020,8.27295918367347,3683.54081632653,0.122,97820,0.23,0.19,0.08,196
"Suffolk","Diabetes",2022,8.78378378378378,3593.97747747748,0.122,95770,0.26,0.22,0.1,222
